sample,dimension,measurement
A1012,height,8.07
A1012,width,5.99
A1013,height,6.28
A1013,width,6.12
A1014,height,5.65
A1014,width,2.31
A1015,height,5.88
A1015,width,2.53
A1016,height,9.55
A1016,width,0.92
A1017,height,1.32
A1017,width,2.63
A1018,height,1.22
A1018,width,3.68
A1019,height,2.69
A1019,width,4.67
A1020,height,8.36
A1020,width,1.77
A1021,height,1.17
A1021,width,4.18
A1022,height,8.99
A1022,width,8.54
A1023,height,8.39
A1023,width,6.02
A1024,height,7.69
A1024,width,9.68
A1025,height,2.96
A1025,width,7.58
A1026,height,6.59
A1026,width,4.17
A1027,height,0.66
A1027,width,8.22
A1028,height,4.49
A1028,width,3.14
A1029,height,1.99
A1029,width,5.85
A1030,height,2.87
A1030,width,4.81
A1031,height,7.81
A1031,width,0.74
A1032,height,9.15
A1032,width,2.94
A1033,height,1.47
A1033,width,8.14
A1034,height,3.86
A1034,width,2.96
A1035,height,3.82
A1035,width,5.95
A1036,height,0.2
A1036,width,4.73
A1037,height,5.59
A1037,width,1.1
A1038,height,1.7
A1038,width,3.42
A1039,height,0.12
A1039,width,8.31
A1040,height,5.89
A1040,width,0.12
A1041,height,8.52
A1041,width,8.03
A1042,height,9.97
A1042,width,2.31
A1043,height,8.03
A1043,width,5.92
A1044,height,7.14
A1044,width,9.81
A1045,height,4.36
A1045,width,5.25
A1046,height,0.96
A1046,width,5.88
A1047,height,8.06
A1047,width,4.49
A1048,height,8.62
A1048,width,4.79
A1049,height,5.48
A1049,width,7.02
A1050,height,2.98
A1050,width,6.15
A1051,height,4.91
A1051,width,6.75
A1052,height,7.58
A1052,width,4.01
A1053,height,9.5
A1053,width,3.23
A1054,height,8.58
A1054,width,3.32
A1055,height,9.44
A1055,width,2.64
A1056,height,2.17
A1056,width,9.47
A1057,height,7.19
A1057,width,6.47
A1058,height,6.67
A1058,width,7.03
A1059,height,1.34
A1059,width,7.99
A1060,height,3.74
A1060,width,2.38
A1061,height,6.51
A1061,width,7.57
A1062,height,4.19
A1062,width,1.25
A1063,height,8.96
A1063,width,2.26
A1064,height,0.01
A1064,width,6.08
A1065,height,0.36
A1065,width,1.13
A1066,height,5.66
A1066,width,0.04
